ID,Target
HPPLD45V,0
IG5AJFJO,0
KMYJAXKV,1
CCSE8XVD,0
D7W5GEG6,0
6NNQKVUG,0
ET24VORB,0
GD6A7YXM,0
H6PAZ7G2,0
ES6HJNN8,0
MXTUGGKN,0
K3QGM3ZK,0
SMOBFTMZ,0
JXBNKWKR,0
BFHOF3MR,0
9V9DCGWT,0
XHZPUIVG,0
QEH3R3CN,0
2SNJFSJT,0
YQC9BZ46,0
QTZBWVUH,0
MWVWD62N,0
98VBM7QB,0
E3HIJS4V,1
CRSV4WUW,0
NARPML46,0
RWVTQDSM,0
7SAJDBKU,0
VQBDQ5DR,0
A24BUCBK,0
IHCDCUNB,0
AYWYWRMY,0
7MP9YCBL,0
JTWN63UA,0
GAP58WPT,0
6TTFAR5V,0
KJDXXJC2,0
4ANMR8ZG,0
K7PJMHH2,0
YQXHMNHZ,0
KQ4UNISP,0
DFKXNJUN,0
QW3UREUT,0
TMCDTNCU,0
ZBL5FKQM,0
LRULANEC,0
FTEDDHDF,0
MGU7C39Z,0
FXPPANJZ,0
9BMNYS6G,0
BMEQNUIJ,0
YJMNPBHV,0
9DCGKZYP,0
G2GQB3H8,0
HUPBBJO5,0
5BDRBGMF,0
F26REVDT,0
X3KV6W6M,0
4X4ZPWX6,0
3MCPRJ2V,0
UJ6PEN52,0
FB8SQ7BX,0
M6SUZFZR,1
YLXRJJTP,0
JFHXJWCD,0
E2X8JY2W,1
NOVCVSOD,0
8WBMVNL5,0
9XJSCSQI,0
FZCRU3PD,0
JWQVWFHT,0
YEMK3KQP,0
GHPQXRBS,0
VBPGVRAX,0
PM7AJDF3,0
KDHDOVNA,0
JV32VAW4,0
CQSU32J6,0
MYWRANTR,1
IQIFZWXU,0
V33AMKCC,0
NRKBEHKG,1
952RSYI5,0
782QNB3W,0
ZGPCV5SN,1
CYGMQ7JT,0
77EPF5HS,0
SF6DRHSV,1
F4ZSO5A9,0
IDDGJB45,1
FZRCPP32,0
MJTRLZ2D,0
XBKPPXPZ,0
TYAED2UT,0
YI7RWN4L,0
Z7JGDQXJ,0
JAPDMT3M,1
Q5U8GTWW,0
H7IAJEEX,0
KR2KOXFA,0
UVSMHGYZ,0
2J6WKUH4,0
BYNPJNVG,0
MY4NYVWI,1
4KIFDJAM,0
JZAUNSEX,0
VI9Z6TS6,0
HXEBZWQB,0
Z28S7CSY,0
HJGDFCQ8,0
8IS8D6KE,1
RFWGRTZJ,0
YXNE3GOK,0
XP5ROXQ2,0
2QVQBRQJ,0
DKSGXA4B,0
NHDUCCHX,0
DSIVXWDJ,0
SURYKTVK,1
KZ3Q8PQU,0
PHRSHWHX,0
65D3KRD2,0
94CZ6T2E,0
AGNHGQZM,0
62S98WMH,1
ZRBSXGOS,0
2LWZ8REK,0
9EGBK55E,0
DFNFWW6A,0
NF8KBJ5R,0
JNBMBK9P,0
QXUZARG7,0
HKXDVT4I,1
43NXBMS5,0
JMZZB7WJ,0
VULWUAMS,0
GLZGXRNJ,0
CYGEIYUY,0
HZCVYTZR,0
KPYGTIEU,0
GCVEAQFF,0
WU6VU42Q,0
NFJGQKSY,0
29KEBUHL,1
PYJGMDYG,0
PUZYFR2U,0
2U45NH7D,0
HFLAKMAS,0
8SP7AQOZ,1
MX25HN6B,1
CET7AYTZ,0
7F4XLR82,0
GSKWBX8J,0
FVJPZKFB,0
IRBTOZTD,0
XEXGJSPU,0
5FGJKFU9,0
GEUB2LEI,0
5A8OEZ4W,1
8M8DFUYU,0
MUEBMU8X,0
76DPJANV,0
25HSHFFB,0
NFG6VC7U,0
DJ5ANFSP,0
BOSMIDMC,0
JBEHCEL9,0
8K7JE4Y4,0
KX2K7PJS,0
NZFVWNZM,0
FB7UN6Q8,0
3KGBWZDM,0
9MRSCQAP,0
KA4MO3DA,0
DGCDBCF8,0
THJ4HFV5,0
YYQJZXCK,0
RWZF3ETT,0
FFKCU6GW,1
CDMUPSOQ,0
4JXX76CX,0
WDBVCV9W,0
RH4UJPDS,0
TW8EGF6L,0
WTXQ85TR,0
MFS3HOCG,0
8SBIJTSN,0
AY3PFU8Y,0
F33HXKFP,0
HWRFO5IW,0
2LJTNERC,0
BYYOSH8S,0
HRLYT6JF,0
53MKW5AI,1
P2NPOZKV,0
FKSKSMPS,0
VJDEXJ6X,0
VHOD3IPW,0
346AHAKK,0
747HFUSU,0
NVCBCHFI,0
2MYUJD9X,0
WVISXRHG,0
VMGY6XZB,0
LNE5SWLE,0
PRT3TJPE,0
H4RNNKNY,0
MMY5B3IR,1
G7JQQPHH,0
XOGRFJWN,0
4SRFNAUB,0
BPDZ3A57,0
PMHDB2KA,0
CBRQRCVK,0
NCMUDJWK,0
MJHUDJTT,0
6MVMW9WK,0
BMEAZOA6,0
Q6OUA5TE,0
DSC9MVCP,1
PUMAFKM8,0
OS8WSCUQ,0
KCTNHPAQ,0
NMEJRCIM,0
NAYKBCUZ,0
DYBZDE75,0
E7MH3WJS,0
NYHX2ZSA,0
3HUNRUFC,1
MY96NIFJ,0
SBSKYWTQ,0
LGTD2BMS,0
5HRSXBQG,0
E2SASEXR,0
U93XURN9,0
7NDDCTKX,0
9JMFRKUF,0
WOVEVWE6,1
RJXNPTPA,0
HSGCPYT6,1
QNEPUBBD,0
KBMZ9446,0
MCAQ6CZM,0
E9QKAZSH,0
UH39YPW6,1
FSLWQNJT,0
G3JHVX4V,0
NIXACJPS,0
PU9DY6AV,0
MRUYJQBT,0
REBVAKXX,0
E4VQFETW,0
KKX8QRVK,0
UQNAY2EB,0
LHDUQN2B,0
NCAZXGCH,0
MP5V5HT3,0
PQMWCXEQ,0
NDCPHHNS,0
7PWJ3CSN,1
GUICIJWU,1
BK6FITCN,0
GE6YIEAJ,0
DNFHPSWO,0
PKHTPEJY,0
LJ7FTAJP,0
FNODPQGH,0
EOMTZGEG,0
JLOGZZCW,1
H68Y3MA9,1
JR8VNIKD,0
BTLALKU4,0
EJG8VFEH,0
34R5FGCQ,0
SEXHMZTW,0
ZECSNIQA,0
CWFVRZNJ,0
KWYXS3LH,0
MHWNP6X2,0
R3L4PZ56,0
LRKJGQ4P,0
WEZLBPIS,0
PCLNLR3Y,1
T2ZUNQJJ,0
LDGZEAEO,0
CHNFLHJV,0
DYOYXEX5,0
BZIHOLFN,0
PVMTHTQ5,0
AZ3QGEAS,0
PA5ND9NU,0
WZSM9LLM,1
FXE77RQA,0
FBFDWTJA,0
EHKAA43M,0
7ZZD57NO,0
JQXJH7UQ,1
GG58ZPE6,0
BRHHBEHP,0
GVMKGSJY,0
BABHROTC,0
5C87SIFN,0
RKPFYYCB,0
5UVWK8PW,0
LN7AUNSM,0
46LJ6ODP,0
FILYXLF9,0
3KCKXUFY,0
VU7ZESC2,0
75EKQPUK,0
NGPSQTPJ,0
TLBLSKXS,0
I2MMOJRO,0
7RGECRVW,0
GFXE6UJ4,0
MGHYRRWA,0
KNBCMT8T,0
VY9KDQ5D,0
GVKPQMXF,0
AHXPPXRE,0
NGFTS5T5,0
HRNF5IXZ,0
3V6ND26J,0
R5FCHKNZ,1
VSYHZSQE,0
GNXFDBPC,0
DWYJG7KP,0
FDKLVQAQ,0
CZRDSRWZ,0
CTNWXMSH,0
WDXCB5LB,1
UHPI2BSE,0
VPEEPPSV,0
CZJTJFA3,0
XJBV2MQQ,0
DLQBNTMX,0
K8RK7YZS,0
RAX3QXXC,0
2RW6U8MD,0
GKLJJQD5,0
UKF6ZTNY,0
SDWAJ9GE,0
QDTAB9RR,0
9XQHDSWR,0
T5QGMQFB,0
3E9GLBGQ,0
VGCJRKLB,0
NAJZJA8M,0
8WEHQP5A,0
NFNAFDXC,0
TPNKMQWT,1
RVCAJMMI,1
KMND2YYX,0
FWBJBDAL,0
44XUNMBM,1
HBPPUFI7,0
HLEX3WRS,0
ZNKYMPTX,0
HTAF8E4Y,0
MPFDJUMK,0
NQTVON6X,0
BIBSTVJD,0
NXHR2YCS,0
JYGSGBSK,0
JKWBAAD5,0
L58ITKJM,0
3AU5FN3R,0
WMJFVMEZ,0
KXSAXNMN,0
CSYWRN2D,1
8MFADXJN,0
NGHWU43C,0
GWARQBRV,0
2RNAMD84,0
4VYFTM9T,0
GFGGAB6G,0
GN59JQR2,0
FC8PYXQE,0
JBFRXKMT,0
ATKL2T5H,0
FTQ5GZCD,0
YSKPXPYN,1
Z6KJDNVB,0
EW9USTPF,0
AHKQP8BW,0
ZPYPIQPR,0
NHMGKKSS,0
ZBJ9LSQE,0
KXNH5ZZQ,0
JPJHCYDT,0
Q7QSNBM3,0
ESLTA9HB,0
4BWUETUH,0
HLSUMP33,0
YG8YO2W3,0
CQFJAHAX,0
RKDZE9XG,0
FM49AGZQ,0
WQKFNZOD,0
JAWB3GOH,0
B82P64QK,0
5PSKIBIQ,0
ESQRVXVV,0
KDG4DCXK,0
LOUK3OPD,0
TN7ZVDCD,0
2LQRKO9G,0
VC8XECQT,0
EZUHFVEQ,1
XREJK8KI,0
NJ5TAGYT,1
DQVA28M6,0
9V82BUSA,1
MRO5RL4W,0
F7BMBHJQ,0
OFMCJRF6,0
KTYQ67JM,0
RF5FFTEE,0
7UZCBCMR,1
NXPVNEZB,0
CQZ4SAZT,0
4BZCDYGB,0
2RUJHARJ,0
9GAJQQNY,0
KRPXYDGW,0
BJXC4MRP,0
LW5C9CBA,0
N4CWMFUI,0
4FCA6PWF,0
H5DYVPWN,1
DKTXZ7XP,0
SNEAZCY9,0
6AYL2DGO,0
KC8NGBJF,0
XUS3CSS8,0
G3DGTEBI,0
8NGWHJTI,0
AJCS5GM2,0
Y2H8GJPS,0
8TRG4MNR,0
DBM8VHYG,1
COAOKDXZ,1
ZNWWRDKC,0
GM5RBSUN,0
7ANYTQYW,0
2CFY6PXI,0
CBYU3AKW,0
WHWZBTDE,1
SEJFBNT2,1
ETJ4MKFH,1
PZ4X8R6R,0
8BPLSPLN,0
H6BWGGEC,0
DZJSTLAN,0
RHVSPGTB,0
TT7RGX9D,0
BGADUMVE,0
WIMHPUTQ,0
8MOQRBRG,0
HDPOE7EM,0
4RCBLDSH,0
YUGYDW6K,0
VTCFK8TS,1
9UBB9SGC,0
PTJN3N6B,0
TKJPFUBE,0
Z4JEYYF3,0
9GYMXHJA,0
LCQMBDUR,0
V6CVFTSQ,0
69MMQRJS,0
WXSKDDYH,1
INAV4YFU,0
GXRJGSY3,0
WBJSUTGV,0
ACWZAKVD,0
LVAMFDMK,0
BBJAPQHF,0
9PVVHYQ2,0
GAUBWDVB,0
CAZBXBTN,0
TFIER9NA,0
6BAQXGRD,0
6NYD8HX4,0
ESWZYJHA,0
EYJWCBLT,0
CRSXA7LQ,0
9PWNJ2GD,0
NPWFUB7H,0
BOKWDXYF,0
JMCKXQPU,1
3PRFMYV4,0
CUYNHIEA,0
BQQYNQFK,0
GEAOGS3G,0
SBP6JZAW,0
RLZRVLXU,0
JRMOENOL,0
E7KRYIDQ,0
RGQPAYM9,0
F3WFEXUW,0
PCSKXUQM,0
96JEIWBZ,0
EKAJDCWH,0
JQAMFMUO,0
DOWNVZYS,0
NRRTNCXN,0
QVQ6DG43,0
EQ5FYAEN,0
DM3DENOK,0
A2UUFZWC,0
CSNBTT3J,0
TKFSA9UI,0
BJA7BNCH,0
5NYGIJIK,0
J6KWGAE2,0
MMDKWPWC,0
6VRFFZ3K,0
QQ6CJZXM,0
US3RMYU8,0
S9LJ9J5Q,0
LWHSYHCM,0
JGM558IF,1
EAFQ4CC2,1
FJWOMSMR,0
6ZEBKIQC,0
IOKWNK8Q,0
DKCSPC7J,0
KYCATGDD,0
7JZLQHYC,0
FL6GPJIK,0
BALAUKJN,0
EVYHCUNE,0
DSYJPFLB,0
E8ZNGRP9,0
GV2UFKAX,0
RW6LXDBK,0
LXQSLOKK,0
CDZRNL8N,0
KIE7WZXN,0
NMW28IU8,0
7PNZCPXY,0
8PTVSODG,0
SPYCZZ98,0
6HXXPOTR,0
WCYM9B8X,0
DNP2DZG7,0
LRJRNJ8U,0
DHSH439E,1
CHBZIH3J,0
KKUZEROW,0
NFAZCYBY,0
82WHLARJ,0
RHVLADXZ,0
CVT4FPFP,0
WIPNPWCG,1
HFSWZJ8U,0
VM6QO448,0
ASEDTKVY,0
S5MQRCJX,0
OGQI2TZV,1
ZHNDNPER,0
74VCFNSG,1
KI4BSD4Q,0
ISNS2YV3,0
MMRVMXNB,0
9RIBYXZX,0
G8YRG5JU,0
HREF8EBF,0
YKDNDUPC,0
2O3NSGLE,0
2ANCPCBD,0
URU4FDHM,0
7PAWH5A9,0
M3ZMHDLC,0
CJ7DR4ZX,0
6M7DZYCQ,1
7KDJCEZ8,0
LQFGS7AG,1
4Y5RKFFA,1
IKEJMRJ2,0
DQSTXVCJ,0
3QHWXMVP,0
NHGBM2T2,0
2EGRHQYQ,0
BPTRSKDV,0
ATYSS3TT,0
UI46WZBI,0
3HKZHAHJ,0
KQSKKKYY,0
KVB5UCKZ,0
EY6LKDPQ,0
RP3XAJXQ,0
AJJZEHXN,0
FYKXPXTX,0
6CSDWYLC,0
NAJVJC6B,0
MXRQPVXI,0
BJBGRMQD,0
CTFWXLTF,0
DL69UGMS,0
HWQJXAYP,0
TMAPPR7M,0
5E5DMMFW,0
W53UXCBV,0
9JTYJB9F,0
66KMAPN8,0
85PXUQRQ,0
OMQ5PPR5,0
2JDFV7HD,0
NP8IEMQ7,0
KTQLBB6Q,0
ERNNSOEL,0
SHUAORR8,0
EPCU7WF2,0
G8PBJD42,0
7UVPX4NH,0
NJS6PBM7,0
FGRQWCJR,0
GROWXT4P,0
CBEB7EDE,0
CMEJHPDY,0
4UFBRYXI,0
BVVXAHEA,1
EHCYZUBC,0
VPHONJBG,0
EXJULCWB,0
HHSTKZMD,0
IFJZGPCG,0
KRGPBOQV,0
AWSAGBTE,0
7XRWFQZO,0
8MJW7UPV,0
AMRWFN2B,0
5POPJ5KK,0
TKWSMUBK,0
EKABTDRC,0
F9FRVYVD,0
B3AK2URV,0
FMLRC4CP,0
IKZKBVMN,1
FKNJMFAK,0
ZY3Y484F,0
NCM8S3ST,1
SYNLCEUN,0
SH8J9L38,0
BBEBDQKW,1
AJHCU5BP,0
POHIZFJA,0
9ZS2Z4YG,0
W6NQ6HAG,0
EH2Z2EST,0
MCTPGTJU,0
AO7DW3NQ,0
ELYTFMJT,1
V3SNHCKF,0
5QBQHXAG,0
RNH6WU7E,0
P2VATDB5,0
M7JUJCOH,1
E3TFBJGJ,0
5YVMY445,0
IZRQEH8N,0
J9GSLPDU,0
KEF6FXFG,0
H7A9I6WR,0
AXXDCC36,0
4SQCW5YB,0
NDGDCC7S,1
O65FMZX5,0
ASPGUXFJ,0
RDTPCTHX,0
GEUAY3QE,1
7FZKUJQZ,0
JFCQ8JQO,0
RVWQKG4P,0
FMTJAALG,0
B9T3MCFN,0
FB8SZMON,0
XGCMFDNH,0
9YRSAQJG,0
JZWCQSYJ,0
QGEDBCZQ,0
KOTWFFZB,0
CF3YFE4F,0
IYIBHPMJ,0
SPCJAHKH,0
CER2OVNW,0
SQJGMNHD,0
MKKYTG3A,0
TMWVKHXC,0
Y22KMVEB,0
NHNN9WJJ,0
TGKCNMK5,0
L5HK7SE5,0
7ALIGVFW,0
64A5CTUS,0
HKDJXYSW,0
N3BWHTN4,0
NJPMGUXF,0
BBWZKNNW,0
M46U5DWM,0
BECDYK3S,0
IXU7HEUH,0
NMDAYCCW,0
HY9IBGFQ,0
7AN34XUM,0
H6ZCDWKR,0
ANUNQD7Y,1
DJ6CYR7Y,0
FUVS9BKD,0
WWJNIXMN,0
N7DAYRQ5,0
7ZXYCGXX,0
6PUGDFHD,0
W6SS9UV3,0
JK2J6JYK,0
LQGHARYE,0
XUNFMDNW,0
M3X44GHB,0
RCTAUMCS,0
DMJUSFRI,0
DJL28WOQ,0
6SAPXHNG,0
YS6A2MOQ,0
IWENGMCN,0
NPHGS9DY,0
V5OAW4WQ,0
S55OWWJX,0
GNZANM6S,0
G72KQDKO,0
SFKRFTDF,0
BXWKPGAU,0
CQQDAMFF,0
AJQ7NRTM,0
R62KN4UH,0
NSEKHHBO,0
3SGYSGAN,0
DVQHJD5R,0
POQFVA3J,0
7THRVH2S,0
73VLMWCE,0
LFRB5RBX,0
886J9PP6,0
WCUIGW3D,0
G2IPRNGI,0
MMUQTD6M,0
3MADMCDT,0
C6PD3BSR,0
5C5YZAPD,0
GEBU7VQQ,1
AAXHTZ43,0
YCSBOPWB,1
KKMMHML2,1
QXEAWE6X,0
NPH9UCPY,0
GGTXY8LB,0
3XA6JVVW,0
LDRZDQXZ,1
DF68JVJD,0
GJKMKZTA,0
8ZFEWZMZ,0
KCU2LVYP,0
JTAWAVKE,0
ZRJ5UFFT,0
UPPANWJ4,0
MPTQRKPX,0
EPHY2TQP,0
FN6YK2P5,0
OGIQV8SD,0
HIFGU4CZ,0
P6F6IRXZ,0
JBYACGJL,1
J8FM2P4C,0
TKJWQW7W,0
BJCFN5EI,0
TGBV49WJ,0
CV6NDBYH,0
FSDEQEVQ,0
6EUZ4UFJ,0
6RPWXX3Y,0
CH36WC3A,0
J6UVELPA,0
HB2VCZS3,1
G59EA4RQ,0
AXNEHZ4Y,0
FKEVJQ6W,0
5VID8HN5,0
6GTW3YQ6,0
PAYA4JCS,0
BTMK3FPT,0
IRNHSSSI,0
J6TEUJYS,1
XFFGBMVK,0
WCKUU8GI,0
3AR6JYTU,0
SECIJRPJ,0
YLOVZ4RF,0
PUNM2S9Y,0
W7V5NN5K,0
NKGNVTBR,1
YDFRCYQG,0
J8E94ABL,0
MNNBFWZF,1
4MYB3JOJ,0
EGUD7BKB,0
NQKSRNEP,0
PXHV2QNW,0
GGVUQM8Q,0
HGNRYXAQ,0
8Y2O3GNB,0
EDAINBF2,0
UHNKJG6J,1
GHC8DT82,0
JWXENVB9,0
MSKIENOQ,0
MKHUKVTK,0
8PARQD6L,0
9RPBZUP9,0
GADL6KMS,1
XYF3SRXN,0
FPXKU5TC,1
YFDCM9ZQ,0
ANKBXPDJ,0
V38Y8FB8,0
5E3N4ABX,0
HTQ5RQAB,0
VXRTZI9N,0
HAPBDD3Q,0
FGBAEG8S,1
QJSBVY6H,0
9H5JVVFM,0
3BXHRAZW,0
UEQYJVDI,0
JNJPFDKU,0
RYPAFHFF,0
Z7XNDEZ9,0
FYMXAAHU,0
FGWM3ONH,0
GNVRXRBR,0
UGKRJIMV,0
8ELFRIQ8,0
K5WIAOFE,0
7QVA3294,1
82KQPAMA,0
EEQ8CXLH,0
VCW9AMXP,0
ZMH4OMDA,0
DRYIQIVD,0
QZ2TWQOT,1
MWGQEBHW,0
WNUVX9CR,0
VY6SF6XQ,0
ABKZ7QHG,0
CGRZETXY,0
VKVKKBCI,0
C2HBJZWE,0
XUTW9RCM,0
CAX8WODG,0
QPRVCGQM,0
52C3AVJR,0
FHALVZRS,0
SCDIOSMM,0
KOGG75V2,1
FXZURWLI,0
KK7KBUA8,0
KFZEVGZZ,0
URQ9CEBY,0
HW6W7C5P,0
SQDDRDDM,0
9VJETR8E,0
JVFBWP3V,1
2IFUZAZF,0
XDR3GF7S,0
FXUBSM5F,0
UZLCTVWL,0
EXKW8EGE,1
SGXFNGBR,0
4MBDPVWL,0
GR8F3SSV,0
CKP4XGZP,0
QNJW6X4L,0
NUFQR3PL,0
GOK3RGBT,0
KVKHOPPM,0
9HEBFBG6,0
9BSZXFP6,0
EGDU5W4C,0
VBP9UDVR,0
4KPLPWVF,0
PZZ3QOZG,1
HONDNAE3,0
SUOZSPRK,0
HRHLIWQ2,0
LU6DBVNZ,0
4Y7GYBTH,0
ADYWDLFR,1
S7J2KTH6,0
JHEWKAPX,0
94JRRS4J,0
DZZDSWPO,0
GKE5XYCI,0
T4BW5E83,0
DXNKDABL,0
YRIW7JKC,0
WPTHZKQV,0
UMCUKNAS,0
GPKRBMPS,0
QHRCDXZG,0
XMMSPJAM,0
SPBSQHLD,0
2JE6EVF6,0
LDDBNWZQ,1
GVDUX68J,0
6AJIQACV,0
4PWNBCJM,0
G3ZBZINQ,0
K3FBMG5G,0
8HEKQFXX,0
FVWNZUVU,0
K6KPVZQG,0
U7UMYMY4,0
Z6NTTBRZ,0
BJZBPKK5,0
2HNDQ9SP,0
FTJOR2T9,0
DPOQIHAC,0
4PWMS5WD,0
MQQVECUB,0
MI97D8AH,0
KVNMVTC4,0
K8Z5AKPS,0
YXG9U23C,0
49INJCKG,0
KHZB5LDG,0
Q7QVNVUU,0
XPGE3R8H,0
ASV7EVEP,0
DOGKVAN5,0
H8N9RQRJ,0
XCYRP4I7,0
KNWITXFN,0
KUXVT8MT,0
AIVYTKSW,0
SUTAHWNJ,1
BTTWEQHW,0
VHXH4HTU,1
GSJSNUKE,0
BZNXBRKF,0
BGA6BWSX,1
HGVZJ4ZP,0
CC68GCQY,0
BWTUTBP5,0
3ABL2GGS,1
ATKOWULN,0
2MPU3QAQ,0
DWBZHZEY,0
F8PQ59EJ,0
E5EXOBFC,0
GHL5D3QX,0
GTWBJVMO,0
J2DV7LJN,0
BSWZGG5Z,0
PXBP6TMA,0
YHRHPJXU,1
XHYMZEJC,0
HNGC5UAS,0
G3YB2OEC,0
4HBN5ZDE,0
YCB8KG7A,0
UUF2RMKR,0
9ZHTJM6M,0
AQUGZZEG,0
IFZWLH8Q,0
X27KP6Y6,0
2M8TVKN3,0
6SYXYDBC,0
RVMYNLJ4,0
GV9PENMT,0
9HTT2GYJ,0
EORTIIML,0
FHVEBCNE,0
HFZU6TJC,0
PSB4EKR5,0
WWUILNJV,0
5XHJDNY6,0
NKED7C4M,0
NWWNTFGB,0
F3MGIREK,0
FTBNKTMP,0
MAHDYWWZ,0
ANSUR27R,1
WFAGG9AL,0
YLNZU2GN,0
4J9FHB5R,0
3IIDVDPF,0
QZTAP5DN,0
LK57RANT,0
7MGRUZXX,0
BCQC5UP3,0
E8H4QBHT,0
HYMNRFGI,0
GWLPTSEB,0
BHYQX66Z,0
PAEDHHBL,0
MX7C9DID,0
FRHNJ5Z9,0
D75RGUXB,0
YRZ7K2YR,0
DPFONKRC,0
CXFTWPZG,0
QR6M3ZL3,0
XWKJWTFQ,0
CN2EDX9P,0
TWMNIRUJ,0
28TUCAXN,0
MJSQJMYP,0
PGPKXK5Z,0
BNFNBZHE,0
RFNSNTPB,0
CXPBPDSJ,0
BRCU9743,0
MW2VYISV,1
AUVGGLGT,0
JXZQYPJG,0
DECLRJSJ,0
BN3B2JKY,0
EPPYMHV7,1
CTJHTUEM,0
AEWGGUYQ,0
5KAH2EGK,0
GX9UCXVR,0
OWKWCBJN,0
R7VOCLJX,0
HVAE4MR9,0
5J5QP3PT,0
NU7NS2NI,0
GN9FBY7G,0
EDZE62XY,1
MXCKVYKR,1
VOFAMYSU,0
MGBA3ZXW,0
BADJFWDB,0
WMRIDWDT,0
ZA6AWDMD,0
CGNYTJ9W,0
RCCGQQGN,1
GPM7AY4T,0
FMJLELXS,0
DPEKATPG,0
JQR722PP,0
ACFNHTNH,0
AAPZOEZJ,0
9XEFUDKG,0
BHT8HSTC,0
GKC4HZPJ,0
2W589XMM,0
GUMUFRU2,0
UJ3ZEMXR,0
MJJOVDTW,0
EFGKAAIA,0
DCVMUADW,0
AZDQWBGR,0
TAPPC8SY,0
C4JBLXUD,0
S6YZJCVD,0
HVW9MO4U,0
9VQBHGMI,0
4YUQGHOP,0
5F2Z9HM5,0
9GH7MQAJ,0
AQMC36RF,1
F4RY6XVR,0
7SJIG46L,1
KXYSTMO8,1
9EXDZNNE,1
P6M4HQ6X,1
CJJEWQEO,1
8I8TBPSI,0
BZRMMRMG,0
NYWJYBC7,0
AVKA9R9G,0
9TOTODVF,0
ASAR9FYG,0
ZU3FTOD2,1
AVV8CUXC,0
EN7EEXJW,0
WFKDGXEB,0
BDK8CLG9,0
M2ENUBJD,1
OCQO2AUY,0
VVGI7P7K,0
LUSYE26R,0
JJ6ZXVWV,1
ZEKK84WK,0
FRSX39JB,0
KRR68PR9,0
WGMISUWD,0
